"nr_caf";"categoria_renda";"ds_tipo_renda";"ds_produto";"vl_renda_auferida";"vl_renda_estimada"
2163;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Aposentadoria ou pensão INSS;31854.94;31854.94
2166;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Banana;1800.00;1800.00
2166;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Feijão;700.00;700.00
2166;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;800.00;800.00
2166;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Aposentadoria Rural;13600.00;13600.00
2167;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Café;145526.10;145526.10
2167;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Aposentadoria Rural;35408.00;35408.00
2168;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Avicultura não integrada Carne;450.00;450.00
2168;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Suinocultura Não Integrada - Carne;500.00;500.00
2168;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Caprinos;3000.00;3000.00
2168;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Programa Bolsa Família;3180.00;3180.00
2170;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Café;180000.00;180000.00
2171;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja;132629.40;132629.40
2171;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;AMPARO PREVIDENC. IDADE - TRAB. RURAL;17474.00;17474.00
2171;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;APOSENTADORIA POR IDADE - RURAL;1747.00;1747.00
2172;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Produtos Olericolas em Geral;207180.00;207180.00
2172;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Lucro de atividade de pessoa jurídica não agrícola;90000.00;90000.00
2173;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Café;104200.00;104200.00
2175;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Avicultura não integrada Carne;500.00;500.00
2175;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Outras Frutas Lavoura Permanente;50.00;50.00
2175;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Outras Lavouras Permanentes;300.00;300.00
2175;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Feijão;300.00;300.00
2175;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Mandioca;200.00;200.00
