municipio,nome_municipio_uf,ivs,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_e_trabalho,idhm,idhm_long,idhm_educ,idhm_renda,idhm_educ_sub_esc,idhm_educ_sub_freq
5219803,São Domingos (GO),0.45900000000000002,"0,349","0,540","0,487",0.59699999999999998,"0,830","0,445","0,576","0,302","0,540"
5219902,São Francisco de Goiás (GO),0.27500000000000002,"0,038","0,425","0,362",0.65100000000000002,"0,825","0,509","0,658","0,349","0,614"
5220009,São João D'Aliança (GO),0.37,"0,246","0,395","0,468",0.68500000000000005,"0,812","0,609","0,650","0,492","0,678"
5220058,São João da Paraúna (GO),0.182,"0,008","0,256","0,281",0.72399999999999998,"0,818","0,664","0,699","0,466","0,793"
5220108,São Luís de Montes Belos (GO),0.19900000000000001,"0,037","0,282","0,278",0.73099999999999998,"0,809","0,670","0,721","0,519","0,762"
5220157,São Luíz do Norte (GO),0.29799999999999999,"0,185","0,386","0,324",0.66900000000000004,"0,801","0,581","0,643","0,425","0,679"
5220207,São Miguel do Araguaia (GO),0.31900000000000001,"0,182","0,385","0,391",0.66400000000000003,"0,818","0,536","0,667","0,396","0,624"
5220264,São Miguel do Passa Quatro (GO),0.20300000000000001,"0,005","0,297","0,308",0.69699999999999995,"0,802","0,619","0,681","0,435","0,739"
5220280,São Patrício (GO),0.21099999999999999,"0,050","0,304","0,280",0.69299999999999995,"0,833","0,597","0,668","0,379","0,750"
5220405,São Simão (GO),0.23899999999999999,"0,069","0,347","0,300",0.72,"0,825","0,599","0,756","0,470","0,677"
5220702,Sítio D'Abadia (GO),0.33800000000000002,"0,120","0,456","0,437",0.61699999999999999,"0,802","0,497","0,590","0,322","0,618"
5221007,Taquaral de Goiás (GO),0.18,"0,012","0,245","0,282",0.71599999999999997,"0,846","0,619","0,700","0,427","0,745"
5221080,Teresina de Goiás (GO),0.46700000000000003,"0,345","0,578","0,477",0.66100000000000003,"0,817","0,564","0,626","0,428","0,647"
5221452,Trombas (GO),0.34,"0,107","0,438","0,474",0.65300000000000002,"0,812","0,547","0,628","0,378","0,658"
5221304,Três Ranchos (GO),0.14099999999999999,"0,040","0,174","0,208",0.745,"0,849","0,672","0,724","0,565","0,733"
5221551,Turvelândia (GO),0.376,"0,402","0,407","0,318",0.69099999999999995,"0,813","0,605","0,671","0,394","0,750"
5221502,Turvânia (GO),0.30499999999999999,"0,202","0,355","0,358",0.69699999999999995,"0,820","0,609","0,679","0,415","0,738"
5221577,Uirapuru (GO),0.29599999999999999,"0,184","0,381","0,324",0.67,"0,822","0,579","0,632","0,377","0,718"
5221700,Uruana (GO),0.29799999999999999,"0,153","0,331","0,409",0.70299999999999996,"0,824","0,634","0,665","0,425","0,775"
5221601,Uruaçu (GO),0.26300000000000001,"0,183","0,303","0,302",0.73699999999999999,"0,860","0,628","0,740","0,498","0,706"
